trip_id,route_id,service_id,trip_headsign,block_id,shape_id
230,1,2,Outbound,6403,34
1036,14,1,Inbound,4406,67
2006,17,2,Inbound,6701,11
927,10,1,Outbound,6802,28
2326,11,2,Inbound,6603,3
1433,1,1,Inbound,6604,82
1478,2,1,Outbound,4104,32
2062,20,2,Inbound,9401,9
557,16,2,Outbound,6602,14
1072,15,1,Outbound,6402,53
1814,12,1,Inbound,6002,45
1593,7,1,Outbound,4122,4
606,11,1,Outbound,9404,2
37,7,1,Outbound,4102,4
1940,15,3,Outbound,6403,53
1794,12,1,Outbound,6002,52
1554,2,3,Inbound,6401,41
608,11,1,Outbound,9401,2
1410,1,1,Outbound,1202,34
173,11,1,Inbound,9403,3
220,7,1,Outbound,4111,4
1743,9,1,Inbound,1222,66
2183,35,1,Inbound,1012,47
1817,12,1,Inbound,6002,24
94,7,1,Inbound,4101,0
105,8,1,Outbound,6203,8
266,7,2,Outbound,4101,4
1004,13,2,Inbound,4403,21
1382,21,1,Inbound,9902,31
1182,16,3,Inbound,6603,18
2018,20,1,Outbound,9404,64
2123,7,1,Outbound,4112,4
1189,18,1,Outbound,6803,15
941,10,1,Inbound,6804,7
2007,17,2,Inbound,6701,11
1150,16,2,Inbound,6602,18
2363,14,2,Outbound,6203,48
1152,16,2,Inbound,6604,18
11,2,1,Outbound,6601,32
321,7,3,Outbound,4102,4
1501,2,1,Inbound,6603,41
1934,15,2,Inbound,6402,40
1280,35,2,Outbound,1011,19
2423,39,1,Inbound,9927,44
83,7,1,Inbound,4102,0
2324,11,2,Inbound,6601,3
385,8,3,Outbound,4401,8
718,33,3,Inbound,6603,78
2103,36,1,Outbound,4131,76
48,7,1,Outbound,4101,4
1444,1,2,Inbound,1201,51
407,10,2,Outbound,6003,28
1988,17,1,Inbound,6701,11
1617,28,1,Outbound,4201,12
1024,14,1,Outbound,4404,54
2066,20,2,Inbound,9401,9
375,8,2,Inbound,6201,33
2379,14,2,Inbound,4401,72
251,2,3,Outbound,1201,32
741,35,1,Outbound,1011,5
1225,18,1,Inbound,6804,27
1053,14,2,Inbound,6202,72
1714,9,1,Outbound,1201,17
277,7,2,Outbound,4102,4
1635,28,1,Inbound,4221,13
713,33,3,Inbound,6602,78
1466,2,1,Outbound,4104,32
1156,16,2,Inbound,6603,18
958,33,3,Outbound,6602,23
2172,23,3,Outbound,9902,55
300,7,2,Inbound,4101,0
1551,2,3,Inbound,6401,41
1232,18,2,Outbound,6801,15
1141,16,2,Inbound,6603,18
919,10,1,Outbound,6801,28
183,11,1,Inbound,9401,3
162,11,1,Inbound,9403,3
512,12,2,Outbound,6003,20
249,2,3,Outbound,1201,32
586,16,3,Outbound,6604,14
34,7,1,Outbound,4103,4
1291,35,2,Outbound,1012,19
607,11,1,Outbound,9403,2
2041,20,1,Inbound,9405,9
290,7,2,Inbound,4101,0
1644,5,2,Outbound,6003,1
1052,14,2,Inbound,4404,72
335,7,3,Inbound,4101,0
1257,35,2,Outbound,1012,19
1514,2,1,Inbound,4102,41
1671,5,1,Outbound,6001,1
1287,35,2,Outbound,1012,19
455,2,2,Outbound,1202,32
315,7,3,Outbound,4102,4
595,11,1,Outbound,9405,2
1193,18,1,Outbound,6801,15
2171,23,3,Outbound,9902,55
1628,28,1,Inbound,4211,13
2170,23,3,Outbound,9902,55
1063,14,3,Inbound,4402,72
1838,12,3,Outbound,6001,20
1211,18,1,Inbound,6801,27
2294,11,2,Outbound,6604,2
805,35,1,Inbound,1013,47
743,35,1,Outbound,1013,5
163,11,1,Inbound,9404,3
1637,28,1,Inbound,4221,13
318,7,3,Outbound,4101,4
466,2,2,Outbound,6403,32
1415,1,1,Inbound,1202,70
544,16,2,Outbound,6604,14
1366,37,1,Outbound,9902,38
2380,14,2,Inbound,4402,72
2105,36,2,Outbound,4131,76
245,2,3,Outbound,1201,32
446,14,3,Outbound,4404,48
1154,16,2,Inbound,6601,18
2281,11,2,Outbound,6601,2
1889,14,1,Inbound,6202,67
975,13,1,Outbound,6203,69
1976,17,1,Outbound,6701,10
20,2,1,Outbound,6605,32
49,7,1,Outbound,4102,4
1247,18,2,Inbound,6802,27
2144,29,2,Outbound,4301,59
974,13,1,Outbound,6201,69
615,11,1,Outbound,9401,2
1162,16,3,Outbound,6604,14
853,29,1,Outbound,6201,59
700,33,3,Outbound,6602,23
1143,16,2,Inbound,6605,18
1233,18,2,Outbound,6802,15
1596,7,1,Inbound,4102,0
1574,5,3,Inbound,6003,22
1462,1,3,Inbound,1201,51
820,35,1,Inbound,1013,47
1805,12,1,Outbound,6021,52
1694,5,1,Inbound,6002,22
1300,35,2,Inbound,1012,74
390,8,3,Inbound,4403,33
2134,20,1,Outbound,9405,64
2180,35,1,Inbound,1011,47
2405,39,1,Outbound,9915,39
757,35,1,Outbound,1012,5
301,7,2,Inbound,4102,0
1409,1,1,Outbound,1221,34
346,7,3,Inbound,4102,0
1472,2,1,Outbound,4102,32
1590,7,1,Outbound,4121,4
1689,5,1,Inbound,6011,22
1904,15,1,Inbound,6401,40
1536,2,1,Inbound,6602,41
1015,14,1,Outbound,6604,54
1681,5,1,Outbound,6002,1
35,7,1,Outbound,4104,4
1188,18,1,Outbound,6802,15
1533,2,1,Inbound,6604,41
1337,35,2,Inbound,1011,74
12,2,1,Outbound,6602,32
706,33,3,Outbound,6604,23
1854,13,1,Outbound,6204,69
1769,10,3,Outbound,6001,28
1564,5,3,Outbound,6002,1
1340,35,2,Inbound,1012,74
2411,39,1,Outbound,9926,57
1935,15,2,Inbound,6403,40
1105,16,1,Inbound,6601,18
594,11,1,Outbound,9401,2
448,14,3,Outbound,4402,48
1525,2,1,Inbound,6605,41
411,13,2,Outbound,4401,43
1963,15,3,Inbound,6401,65
1630,28,1,Inbound,4201,13
722,33,3,Inbound,6603,78
911,10,1,Outbound,6803,28
1240,18,2,Inbound,6801,27
373,8,2,Inbound,6202,33
1278,35,2,Outbound,1011,19
1867,13,3,Outbound,4403,43
1812,12,1,Inbound,6001,45
1857,13,1,Inbound,6204,21
58,7,1,Outbound,4101,4
527,12,2,Inbound,6003,24
1537,2,1,Inbound,6603,41
943,10,1,Inbound,6804,7
1848,12,3,Inbound,6003,24
114,8,1,Outbound,6201,8
2290,11,2,Outbound,6605,2
863,29,1,Outbound,4406,59
90,7,1,Inbound,4101,0
1245,18,2,Inbound,6802,27
2090,23,2,Outbound,9901,55
565,16,2,Outbound,6605,14
907,10,1,Outbound,6801,28
2179,35,1,Inbound,1012,47
1983,17,1,Inbound,6701,11
2394,23,3,Inbound,9902,26
750,35,1,Outbound,1011,5
2030,20,1,Outbound,9402,64
1792,12,1,Outbound,6001,52
1568,5,3,Outbound,6003,1
519,12,2,Inbound,6001,24
1811,12,1,Inbound,6012,46
2168,18,3,Outbound,6802,15
201,14,1,Outbound,4403,54
227,1,2,Outbound,6403,34
1239,18,2,Inbound,6802,27
1627,28,1,Inbound,4211,13
1914,15,1,Inbound,6402,40
1288,35,2,Outbound,1011,19
1669,5,1,Outbound,6002,1
510,12,2,Outbound,6001,20
561,16,2,Outbound,6601,14
434,14,2,Outbound,6204,48
537,16,1,Outbound,6603,42
1202,18,1,Outbound,6811,15
601,11,1,Outbound,9401,2
43,7,1,Outbound,4104,4
866,29,1,Inbound,6201,56
1701,5,1,Inbound,6001,22
617,11,1,Outbound,9401,2
719,33,3,Inbound,6604,78
584,16,3,Outbound,6602,14
122,8,1,Outbound,6204,8
1529,2,1,Inbound,6602,41
2318,11,2,Inbound,6605,3
364,8,2,Inbound,4402,33
513,12,2,Outbound,6001,20
1222,18,1,Inbound,6812,27
2051,20,2,Outbound,9402,36
213,16,1,Outbound,6604,42
2274,37,1,Inbound,9924,35
1168,16,3,Inbound,6601,18
1378,21,1,Inbound,9913,31
1575,5,3,Inbound,6001,22
1284,35,2,Outbound,1011,19
2403,39,1,Outbound,9916,39
276,7,2,Outbound,4101,4
874,29,1,Inbound,4402,56
1951,15,3,Outbound,6402,58
552,16,2,Outbound,6602,14
98,8,1,Outbound,4403,8
2,2,1,Outbound,6602,32
